,index,date,yearly_trend_calc_2019,pred_2019,yearly_trend_calc_2018,pred_2018,yearly_trend_calc_2017,pred_2017,yearly_trend_calc_2016,pred_2016,yearly_trend_calc_2015,pred_2015,yearly_trend_calc_2014,pred_2014,num_harmed,non_observation,year,nyd
0,0,2014-01-01,,88.84713763763364,,87.84625228400952,,90.45326744455495,,91.39095278902532,,95.40497547363704,,96.08449411218399,182.0,,2014,0.0
1,1,2014-01-02,,85.16006405348703,,82.7508169913076,,84.66995821817811,,85.86967284134045,,90.32654489818,,89.83207851474353,77.0,,2014,
2,2,2014-01-03,,90.5345120465297,,89.05715509758656,,91.44856278195722,,92.72380755397774,,96.08045248211151,,99.8923564315053,96.0,,2014,
3,3,2014-01-04,,119.5658831237465,,117.50541683822513,,120.24509983727975,,121.73314237363718,,123.33185404850202,,125.22234334239505,111.0,,2014,
4,4,2014-01-05,,127.89391564802361,,126.56122396223884,,129.28572209058257,,125.78995245013034,,127.120778287059,,124.59958571076504,97.0,,2014,
5,5,2014-01-06,,91.96767525294658,,91.27035115881708,,93.4585389135258,,93.71158958411047,,95.21539584563831,,98.03274737570239,54.0,,2014,
6,6,2014-01-07,,86.20265829931817,,85.37974556320357,,87.67346423046598,,87.12560767078661,,89.70074154300322,,89.68445020396702,64.0,,2014,
7,7,2014-01-08,,85.04805796683047,,85.00234185909096,,86.38618810248909,,86.65800630040049,,90.06177203806703,,91.81177414947003,85.0,,2014,
8,8,2014-01-09,,81.0265233443413,,79.70810234591035,,80.39460134447675,,80.7843091234314,,84.89916286092645,,85.28109910779465,86.0,,2014,
9,9,2014-01-10,,86.13165410092495,,85.86087594721883,,87.01615372016161,,87.36930195613655,,90.62379650836083,,95.1211605997841,66.0,,2014,
10,10,2014-01-11,,114.96154517089053,,114.20092526505636,,115.70796302311396,,116.1958374597787,,117.89691513086493,,120.28819855413695,113.0,,2014,
11,11,2014-01-12,,123.15689211984323,,123.19279562716724,,124.69585540543028,,120.15667824617057,,121.75323274503353,,119.55744661225174,119.0,,2014,
12,12,2014-01-13,,87.1659638912134,,87.8800260092533,,88.86619438865031,,88.06707596937729,,89.9543460385748,,92.9337943555594,108.0,,2014,
13,13,2014-01-14,,81.40173517838677,,82.00622885173206,,83.12577502732408,,81.54996735360595,,84.57763781001978,,84.57474743669694,110.0,,2014,
14,14,2014-01-15,,80.30922766142197,,81.67999521195964,,81.92588098335692,,81.22436528067372,,85.09955106057944,,86.73108786072929,103.0,,2014,
15,15,2014-01-16,,76.40538883708517,,76.46605272060685,,76.05883199677208,,75.55665767317377,,80.11163217535089,,80.2619127845144,104.0,,2014,
16,16,2014-01-17,,81.67674814216063,,82.72226763242038,,82.8354993449244,,82.40063304273669,,86.01528841604647,,90.18791845839475,103.0,,2014,
17,17,2014-01-18,,110.71316074162208,,111.18233666302751,,111.70560261245822,,111.5266313629391,,113.4622259299559,,115.4568022965148,104.0,,2014,
18,18,2014-01-19,,119.14614450737494,,120.30383849650835,,120.88696321410805,,115.81378210688908,,117.47785524248904,,114.83502328947293,118.0,,2014,
19,19,2014-01-20,,83.41411079829076,,85.1231402333614,,85.25756637907516,,84.06301544261838,,85.81499491109643,,88.31874530039461,127.0,,2014,
20,20,2014-01-21,,77.91977441426135,,79.37668075457573,,79.71570169242,,77.8827147537084,,80.5430588125551,,80.05707992566269,82.0,,2014,
21,21,2014-01-22,,77.0977844888973,,79.16608209501608,,78.70427309920485,,77.87757498018665,,81.13159657694521,,82.29302274070565,86.0,,2014,
22,22,2014-01-23,,73.45489717731766,,74.04951078497024,,73.00759871942773,,72.50036544374328,,76.16657742035181,,75.87875277476597,59.0,,2014,
